Gene,Gene Symbol,Description,Biological Process (GO),Kinase Class (UniProt),Protein Function (Protein Atlas),Subcellular Location (Protein Atlas),Canonical Pathways,Hallmark Gene Sets
808,CALM3,calmodulin 3,GO:1901842 negative regulation of high voltage-gated calcium channel activity;GO:0051343 positive regulation of cyclic-nucleotide phosphodiesterase activity;GO:1905913 negative regulation of calcium ion export across plasma membrane,,Predicted intracellular proteins; Human disease related genes:Cardiovascular diseases:Cardiac diseases; Disease related genes; RAS pathway related proteins,,,(M5921)HALLMARK COMPLEMENT
5094,PCBP2,poly(rC) binding protein 2,GO:0039694 viral RNA genome replication;GO:0075522 IRES-dependent viral translational initiation;GO:0160049 negative regulation of cGAS/STING signaling pathway,,Predicted intracellular proteins,Cytosol;Nucleoplasm (Supported),,
284023,RNF227,ring finger protein 227,GO:0016567 protein ubiquitination;GO:0032446 protein modification by small protein conjugation;GO:0070647 protein modification by small protein conjugation or removal,,Predicted intracellular proteins,,,
403314,APOBEC4,apolipoprotein B mRNA editing enzyme catalytic polypeptide like 4,GO:0006397 mRNA processing;GO:0016071 mRNA metabolic process;GO:0006396 RNA processing,,Predicted intracellular proteins,,,
3021,H3-3B,H3.3 histone B,GO:0006334 nucleosome assembly;GO:0032200 telomere organization;GO:0034728 nucleosome organization,,Human disease related genes:Congenital malformations:Congenital malformations of the nervous system; Predicted intracellular proteins; Disease related genes; Cancer-related genes,Nucleoplasm (Supported),,
23270,TSPYL4,TSPY like 4,GO:0006334 nucleosome assembly;GO:0034728 nucleosome organization;GO:0065004 protein-DNA complex assembly,,Predicted intracellular proteins,,,
23710,GABARAPL1,GABA type A receptor associated protein like 1,GO:0006995 cellular response to nitrogen starvation;GO:0043562 cellular response to nitrogen levels;GO:0061723 glycophagy,,Predicted intracellular proteins,Vesicles (Approved),,(M5935)HALLMARK FATTY ACID METABOLISM; (M5947)HALLMARK IL2 STAT5 SIGNALING; (M5934)HALLMARK XENOBIOTIC METABOLISM
415117,STX19,syntaxin 19,GO:0031629 synaptic vesicle fusion to presynaptic active zone membrane;GO:0099500 vesicle fusion to plasma membrane;GO:0048499 synaptic vesicle membrane organization,,Predicted intracellular proteins; Transporters:Accessory Factors Involved in Transport,Intermediate filaments (Approved); Additional: Cytosol,,
2045,EPHA7,EPH receptor A7,GO:0048755 branching morphogenesis of a nerve;GO:0051964 negative regulation of synapse assembly;GO:0048671 negative regulation of collateral sprouting,yes,Enzymes; ENZYME proteins:Transferases; Predicted intracellular proteins; Cancer-related genes:Candidate cancer biomarkers; Kinases:Tyr protein kinases,,(M177)PID EPHA FWDPATHWAY,
5121,PCP4,Purkinje cell protein 4,GO:0099004 calmodulin dependent kinase signaling pathway;GO:0045666 positive regulation of neuron differentiation;GO:0045664 regulation of neuron differentiation,,Predicted intracellular proteins,Nucleoli fibrillar center;Nucleoplasm (Approved),,(M5907)HALLMARK ESTROGEN RESPONSE LATE; (M5953)HALLMARK KRAS SIGNALING UP
143662,MUC15,"mucin 15, cell surface associated",,,Predicted intracellular proteins,,(M5880)NABA ECM AFFILIATED; (M5885)NABA MATRISOME ASSOCIATED; (M5889)NABA MATRISOME,
128344,CIMAP3,ciliary microtubule associated protein 3,GO:0060971 embryonic heart tube left/right pattern formation;GO:0035050 embryonic heart tube development;GO:0060972 left/right pattern formation,,Predicted intracellular proteins,Vesicles (Approved),,
4826,NNAT,neuronatin,GO:0009249 protein lipoylation;GO:0032024 positive regulation of insulin secretion;GO:0090277 positive regulation of peptide hormone secretion,,Transporters:Transporter channels and pores,,,
