_MEMBER_Kansl1l,_LogP_Kansl1l,GO,Description,_PATTERN_,_RANK_,GiniIndex
1,-3.9,GO:1901021,positive regulation of calcium ion transmembrane transporter activity,M1,1,0
1,-3.4,GO:0021762,substantia nigra development,M1,1,0
1,-5.3,GO:0051282,regulation of sequestering of calcium ion,M1,1,0
1,-4.7,hsa04750,Inflammatory mediator regulation of TRP channels,M1,1,0
1,-5.2,GO:1901844,regulation of cell communication by electrical coupling involved in cardiac conduction,M1,1,0
1,-2.2,R-HSA-425393,Transport of inorganic cations/anions and amino acids/oligopeptides,M1,1,0
1,-2.6,GO:0061564,axon development,M1,1,0
1,-2.6,R-HSA-70326,Glucose metabolism,M1,1,0
1,-3.1,hsa05417,Lipid and atherosclerosis,M1,1,0
1,-4.2,R-HSA-5627123,RHO GTPases activate PAKs,M1,1,0
1,-2.2,GO:0051928,positive regulation of calcium ion transport,M1,1,0
1,-2.4,GO:0032410,negative regulation of transporter activity,M1,1,0
1,-2.4,GO:1904062,regulation of monoatomic cation transmembrane transport,M1,1,0
1,-3.7,R-HSA-9658195,Leishmania infection,M1,1,0
1,-3.2,GO:0043270,positive regulation of monoatomic ion transport,M1,1,0
1,-5.1,R-HSA-111932,CaMK IV-mediated phosphorylation of CREB,M1,1,0
1,-3.5,GO:0006942,regulation of striated muscle contraction,M1,1,0
1,-2.3,GO:0006195,purine nucleotide catabolic process,M1,1,0
1,-2,R-HSA-5576891,Cardiac conduction,M1,1,0
1,-2.7,hsa05133,Pertussis,M1,1,0
1,-6.2,R-HSA-111957,Cam-PDE 1 activation,M1,1,0
1,-3.9,R-HSA-372790,Signaling by GPCR,M1,1,0
1,-2.1,hsa04080,Neuroactive ligand-receptor interaction,M1,1,0
1,-2,GO:0051924,regulation of calcium ion transport,M1,1,0
1,-3.4,GO:0010799,regulation of peptidyl-threonine phosphorylation,M1,1,0
1,-3.6,R-HSA-2514859,"Inactivation, recovery and regulation of the phototransduction cascade",M1,1,0
1,-2.8,hsa04924,Renin secretion,M1,1,0
1,-4.7,GO:0043666,regulation of phosphoprotein phosphatase activity,M1,1,0
1,-2.4,hsa04925,Aldosterone synthesis and secretion,M1,1,0
1,-3.6,GO:0050848,regulation of calcium-mediated signaling,M1,1,0
1,-2.3,hsa05170,Human immunodeficiency virus 1 infection,M1,1,0
1,-3.3,GO:2001258,negative regulation of cation channel activity,M1,1,0
1,-2.3,R-HSA-2187338,Visual phototransduction,M1,1,0
1,-2.3,R-HSA-72163,mRNA Splicing - Major Pathway,M1,1,0
1,-3,R-HSA-168643,"Nucleotide-binding domain, leucine rich repeat containing receptor (NLR) signaling pathways",M1,1,0
1,-2,GO:0090257,regulation of muscle system process,M1,1,0
1,-4,GO:0010800,positive regulation of peptidyl-threonine phosphorylation,M1,1,0
1,-2.6,GO:0043065,positive regulation of apoptotic process,M1,1,0
1,-3.3,R-HSA-69236,G1 Phase,M1,1,0
1,-2.2,R-HSA-611105,Respiratory electron transport,M1,1,0
1,-3.7,GO:0009266,response to temperature stimulus,M1,1,0
1,-2.3,hsa04922,Glucagon signaling pathway,M1,1,0
1,-2,hsa04728,Dopaminergic synapse,M1,1,0
